sample_idx,leaf_order
175,1744
1014,1582
1759,1813
2679,947
3503,61
4161,1812
4497,1090
5079,174
5221,445
5717,606
5866,62
5929,1584
6427,978
6468,355
7133,1271
7145,1272
8520,1077
8621,1683
9117,189
9576,405
9734,1608
9807,1634
9880,1755
9902,1722
10065,1670
10606,389
10642,1479
10788,859
10888,1013
11193,1714
11442,1260
12393,161
12533,124
12671,1181
13585,1235
13799,1380
13812,353
14445,498
14656,1014
15104,183
16447,860
16689,162
16838,788
17227,1723
18123,1701
18747,1814
19026,66
19135,1482
19286,1781
19492,1571
19803,645
20103,641
20804,412
22134,1550
22546,0
22927,928
23890,775
24157,901
24498,1777
25712,1667
25753,1668
26922,446
29161,1706
33596,151
36178,1562
36234,1688
36318,1474
36640,1946
37341,1379
37537,1518
38593,687
38609,688
40422,363
40469,743
40911,1958
40996,1556
41037,1657
41072,1803
41076,1804
41277,1164
41992,827
42441,789
42746,790
43376,480
45394,1475
50281,141
51126,1358
52024,1008
53900,1016
55287,1575
55288,1576
60228,766
64837,379
65149,1344
65181,1438
66367,18
66577,16
66620,19
67056,17
67869,1751
68013,1044
69077,1886
74048,433
74099,444
74386,767
75113,382
75173,378
75300,898
75885,1142
76171,504
76404,1143
77706,1240
78510,107
79580,466
80251,685
80348,683
80471,684
80624,1108
80645,1109
82018,1563
82065,1778
82593,253
83396,1383
83400,1384
84540,1453
85366,1059
86041,59
86087,1735
86358,709
86504,155
87350,1857
87742,186
88794,42
88863,1607
91131,1628
92704,686
92931,1389
94250,187
96151,1198
97252,152
97562,1752
97795,348
98591,803
99971,622
100582,1203
100856,442
100983,443
101798,620
104476,299
104633,300
105205,1757
105651,1750
106033,1314
106154,346
106250,1265
106632,576
106796,807
107993,579
108379,1298
118764,938
118844,254
121712,1956
121746,1955
121818,1953
122189,1377
122460,138
123103,284
125194,931
126012,538
128691,1419
128818,1186
131072,689
131244,849
131500,1944
131661,998
131859,1200
132200,1624
133415,257
133974,578
134068,626
137166,532
137241,534
137284,531
137286,535
137455,533
138202,367
139056,656
139386,621
139476,870
139478,871
139580,1775
140011,983
140891,464
146945,371
147761,856
147777,1568
147806,1553
150633,381
152075,1493
152140,43
152294,390
152427,1129
152614,915
152749,1328
154104,1408
154819,1709
154824,1710
155796,1357
157529,1733
159378,1003
160361,1234
160617,419
160777,357
161106,53
161308,1718
161348,1483
164161,3
164255,751
164416,1974
164511,1975
167274,1187
167291,1184
167329,847
167387,456
168241,768
168585,910
168597,911
168946,843
169182,1740
169272,1595
169829,862
171047,1465
171080,1442
171986,1789
173068,271
176427,769
176605,1270
177991,872
178323,647
180266,1543
180627,1906
181212,623
181382,801
181718,1144
182239,1211
182710,1839
183527,650
183620,1776
183693,372
183827,1427
184488,955
184553,1793
184655,1116
184666,1117
185046,834
187458,838
187485,1278
187502,1965
187521,1966
187930,467
190340,1243
193088,828
193893,51
194487,1060
194534,1643
194939,812
196582,953
196849,643
197231,1810
197788,774
198617,1612
199856,438
199933,354
201232,1921
201237,1760
201708,1519
202966,49
203103,65
204232,113
205836,50
207498,46
215876,609
216903,384
217182,1663
217516,1150
219810,202
221147,203
221717,1005
221869,733
222858,409
223103,1251
225415,1255
234812,1049
235797,172
235873,1669
238241,115
238266,441
239375,511
239659,267
240945,1159
241202,1890
242555,1511
243356,489
243411,929
244082,329
245070,659
245071,660
247038,1331
247331,1359
247676,415
247808,417
247860,416
248608,440
248973,376
249018,377
252831,904
252836,905
253147,1276
253609,1900
254000,1435
254290,1559
257195,1017
257323,309
257500,1429
257669,1591
258503,451
258848,1249
258946,981
259008,1370
259137,691
262362,9
263983,195
