grouping,level,count
total,samples,1098771
total,genes,67186
total,geo_series,38761
single_cell_flag,likely_sc(>=0.5),319762
single_cell_flag,likely_bulk(<0.5),779009
submission_year,2011,59
submission_year,2012,572
submission_year,2013,5702
submission_year,2014,8049
submission_year,2015,20125
submission_year,2016,53567
submission_year,2017,69530
submission_year,2018,108618
submission_year,2019,111601
submission_year,2020,131057
submission_year,2021,143316
submission_year,2022,145329
submission_year,2023,128264
submission_year,2024,110188
submission_year,2025,56454
submission_year,2026,6340
