PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,sample_idx,geo_accession,singlecellprobability,submission_year
-190.79974,-122.56123,-38.282608,42.85202,-58.867435,-22.170015,-73.426384,-34.486713,47.712086,55.52946,-13.049982,11.484915,-1.5468628,14.450376,10.3675585,-21.541018,-1.2184927,10.086402,33.527298,13.025741,-5.421441,-12.883913,-11.340476,27.20439,6.9317446,-4.3681345,1.6132995,10.9138155,4.4320292,37.37379,1.8718977,-3.0440373,-23.197237,-2.982917,-9.93384,15.912948,-3.5365837,-4.977059,16.161325,-1.2010227,-6.647875,-6.2192335,-28.27683,-5.6011744,-19.490915,-10.349322,24.085442,16.841301,7.613613,19.739056,175,GSM1085706,0.0016650881353056993,2013
-175.84193,-125.21,-61.46172,-35.40347,15.383214,23.035524,13.832374,39.656693,2.1044514,-5.988444,16.331259,-29.88763,-51.181835,-38.21054,32.36099,-24.9361,-22.516804,-5.5745068,6.932041,-6.5080256,6.801067,-18.436682,34.800346,-17.971762,-1.0685817,9.721391,-12.467884,23.643194,27.33514,-1.9958005,-9.837834,-33.752502,12.115394,-4.983672,-18.260326,-45.35784,2.168412,-18.021002,3.8442252,-4.299128,0.7727237,10.085889,20.514538,3.6573384,-11.978089,-16.121923,1.9403706,-17.079441,-11.639947,-22.856165,1014,GSM1156801,0.0055191038796424344,2013
-171.81569,-125.56587,-58.66456,-30.18023,19.221277,24.744871,12.992446,37.683052,1.0800644,-4.453154,14.34317,-28.064177,-48.651546,-33.387398,38.27433,-26.059431,-21.19914,-5.2368674,1.2739694,-8.367722,8.518995,-19.854504,35.059093,-16.755196,-2.3954122,7.105997,-13.28122,25.166359,24.79527,-3.4137638,-12.33525,-34.68822,13.032909,-6.6097965,-19.297419,-43.899475,2.4875195,-17.268862,2.1202633,-5.78252,1.2431872,7.8620257,19.363272,4.6849875,-13.120619,-16.464611,1.0096043,-20.632334,-11.909923,-21.824413,1029,GSM1156816,0.006953816261207299,2013
-180.34229,-124.87301,-57.662373,-32.440636,15.68437,25.424704,10.332528,39.929573,-3.5141258,-1.9145476,14.575399,-24.429865,-48.145676,-25.564445,46.647102,-24.664314,-23.997747,-9.060896,1.966273,-4.6790376,9.960998,-18.58474,31.834263,-18.52018,-0.48738855,8.207099,-15.165211,24.561356,25.666653,-1.5438364,-11.1826935,-35.7565,12.124732,-7.5535326,-18.943079,-45.92747,2.1364744,-18.470695,4.08838,-4.6613374,0.23814066,8.344628,19.709698,3.2097216,-12.096502,-16.314535,3.192443,-18.439344,-11.258331,-21.200968,1070,GSM1156857,0.006595275175281166,2013
-159.39441,-110.52234,49.26177,-141.46545,47.747738,208.16748,21.898914,60.406914,-0.9641047,-43.147667,13.143478,30.169125,37.527122,-10.298258,1.2470498,96.42089,27.06419,64.55622,24.02071,-38.83133,15.041122,-33.74526,30.116886,21.276741,30.086435,37.506447,-43.707687,-47.378376,12.585752,-16.13172,11.305102,-31.132753,4.8143463,-21.999825,-4.97726,7.203355,7.619904,-0.5783371,-24.526388,-8.394269,15.921632,3.5675266,-15.7218,33.939034,-13.088598,-31.446852,14.058798,11.82464,-9.671086,-2.650153,1109,GSM1156896,0.015070148499791398,2013
-181.77959,-133.53853,-21.997822,-71.758995,30.664824,93.304855,22.798887,52.83143,-3.495053,-12.098684,9.620147,-4.293478,-35.4447,-30.375145,35.6432,13.335042,-16.242119,18.582386,21.423231,-19.709253,18.23593,-34.611755,41.004505,-3.0686343,14.540558,26.504227,-33.94869,1.5524515,26.05409,-2.196494,-3.6623082,-45.157684,11.746319,-10.103188,-18.604412,-40.191753,4.802143,-17.309351,-6.60709,-4.6091533,2.3343344,5.6450443,6.817345,19.02447,-11.730228,-26.628347,9.531833,-2.8283486,-19.05816,-15.1458845,1188,GSM1156975,0.010642769880837628,2013
-164.04503,-103.48881,66.714035,-137.16057,43.465405,206.15765,17.955303,55.01341,-12.284538,-39.56958,6.899476,38.017155,40.5032,2.9286873,15.403942,96.687935,26.991568,60.316563,19.80879,-39.283684,20.404707,-34.11387,28.798725,19.859507,35.880764,40.537666,-41.0231,-47.747013,13.447703,-15.301536,11.049109,-30.273214,7.28119,-21.36129,-2.724081,4.428547,6.981149,-1.7639062,-24.976221,-7.3560414,15.166747,4.7288327,-15.916798,34.119118,-14.093905,-33.152782,12.163429,14.802606,-9.689621,-2.6365242,1759,GSM1157670,0.013763914563010427,2013
-176.8021,-124.2424,1.0084335,-62.193165,33.428616,86.50215,20.631882,30.725666,-21.527706,-6.0617905,0.32575804,10.225695,-36.65524,-12.807864,53.25435,13.959219,-13.9966,16.574604,8.587796,-27.054264,23.62518,-34.97684,40.19321,-2.6213248,15.319624,28.76843,-28.291452,0.03448188,31.100279,-4.014558,-7.265712,-43.05804,15.173033,-8.53858,-17.440804,-41.719364,1.7900257,-21.007263,-8.670029,-8.314385,4.859401,3.7034779,12.137944,19.924326,-12.842066,-27.023926,8.741598,-4.737274,-21.55509,-14.25178,1796,GSM1157707,0.006782294521080064,2013
-180.24843,-121.98207,33.804882,-107.91522,42.74284,155.88258,20.444002,53.85898,-21.742418,-22.255005,2.5049927,29.144672,-5.30421,-7.1469693,38.541046,55.540024,3.1730447,38.12266,24.813156,-29.460007,26.001915,-40.005295,36.740303,11.275305,29.303486,42.526604,-40.702152,-26.269117,28.173395,-2.3971462,5.387484,-43.051353,8.419966,-16.391861,-9.58013,-23.97445,5.222594,-12.4456415,-14.798958,-5.946126,9.535312,4.8777986,-4.3591413,29.650282,-14.567992,-32.43497,14.565755,10.035838,-20.328352,-9.436737,2158,GSM1158133,0.01435582792495035,2013
-189.78113,-83.58729,-37.191658,-89.20861,98.13388,-53.99977,-29.722942,52.534977,-18.622429,28.89612,-34.02253,31.39308,40.11212,-35.32196,-1.2774642,38.309494,-7.068359,-60.02699,-42.056255,-4.0900764,-18.927706,-45.278786,3.1107163,-19.689522,-38.504204,88.24641,-60.827175,-4.2116303,-6.652392,-2.194131,-21.199892,23.670164,12.667119,-3.279903,1.3468462,16.837688,-10.090899,-35.80499,18.7769,16.556524,-10.393213,-7.0983186,7.531482,-0.78474534,5.930763,-3.7232747,3.3837245,3.5536478,-38.175674,7.9876046,2679,GSM1163020,0.0010634032229024618,2013
-190.11803,83.7987,-60.388992,-20.572731,-99.704475,45.815063,7.440076,13.45978,-14.315109,21.17579,9.299192,-51.50724,7.1126723,6.9014206,10.433606,19.191874,-8.561377,-41.973804,-64.143585,2.226879,-14.543416,63.21255,42.50105,20.32964,54.979233,18.260685,-2.849384,11.043814,-44.3393,2.283409,21.218063,10.332593,-43.528316,-16.716301,-34.055687,0.14673845,-25.116392,-36.201862,-31.905993,-33.059353,-9.558118,23.275343,-1.9130136,1.3279377,-12.686318,8.728111,23.73603,-13.278557,-6.626239,17.198872,2929,GSM1185608,0.005028869598773137,2013
-146.92032,-129.12827,-51.350876,74.06434,-58.085594,-31.483723,-3.1137428,16.060024,37.739555,28.348701,17.672867,-15.561577,-18.429897,11.174809,3.801144,-7.275009,58.09776,-0.3254297,21.330181,-1.882478,22.112885,-38.863262,-10.735705,7.1586976,2.3327305,-7.3498645,10.499281,-2.3504028,-5.609049,-9.991741,7.243979,-27.107195,-26.01491,0.23157772,-39.1004,-22.755136,36.213757,35.99819,-25.101683,12.255151,40.20064,-46.537575,41.56339,-22.754517,51.645767,-7.137258,24.32737,5.3595557,-21.475567,10.34418,3462,GSM1197623,0.0009893457469131188,2013
1223.3102,-18.653137,-16.276321,-55.57979,-35.592804,-5.664685,-34.922485,12.171375,-5.553365,9.315186,-12.184549,-3.0549777,-5.655725,-1.957788,-3.6674707,-0.22881417,5.006277,5.909632,1.7891396,-0.7695644,-8.773497,4.37198,-2.0096803,-2.9698923,-0.4728973,-0.69905835,5.674835,1.0937614,6.1436267,-2.7883174,1.4244926,6.167269,-3.395642,-6.6552796,-12.931863,5.4071856,-11.76754,0.2610481,2.583277,-4.535173,3.970877,-6.3241634,6.1928515,-0.7062002,-7.4947686,4.6952305,-5.216723,0.61659396,7.89401,-6.7760353,3503,GSM1201748,0.40407609779681003,2013
-163.47012,-115.19304,83.917465,-117.905914,13.132408,228.76907,29.847462,74.33614,2.1721137,-7.7924333,-13.579854,41.234936,39.90781,10.686817,-9.807947,65.59386,14.955367,63.50817,15.191668,-41.844963,20.933393,-16.932579,34.458813,36.259476,21.912249,34.548508,-41.075493,-27.93405,9.036312,-0.41180468,17.183107,-9.779803,-11.807097,-6.820068,-9.34842,3.7986362,-5.006275,6.539339,-15.534355,-23.901194,19.748041,-13.264373,-15.487946,7.688119,10.949612,-12.144323,0.8365137,15.056968,-4.3194466,-8.1000395,4161,GSM1241351,0.015796723844434275,2013
-166.56528,-115.210495,48.659748,-99.48816,52.76822,209.7131,19.12762,67.90492,-7.548618,-15.705504,-15.780257,48.68106,21.646568,1.0995799,-8.612778,67.08264,-2.3517485,54.365353,21.892355,-30.141188,19.423079,-37.73498,31.571426,33.97242,33.907574,41.244774,-30.429203,-11.286045,26.670748,26.447306,24.227394,-15.574424,-11.066779,-23.007784,3.9911308,-4.7025824,-3.3745298,-6.724808,-10.692775,-31.6666,24.168636,-13.206126,-17.695871,6.9701204,-6.9759088,-23.666086,-6.1236033,17.26286,4.786049,-10.419025,4163,GSM1241353,0.015415617722313967,2013
-179.15717,81.1951,124.50142,-137.95287,13.690501,-91.18482,20.14404,-73.383064,-70.88402,5.5060987,-23.621426,-10.590356,-7.9610248,-39.838215,-29.896206,-10.142869,-18.842333,-23.793224,28.31643,-39.963108,47.82876,11.088603,-15.014629,-69.96973,-11.18856,14.405585,22.377995,-16.251036,33.968735,-7.503159,-42.60643,0.8448548,-3.9494035,19.965872,7.251374,-44.350426,-13.333739,-8.725538,-14.004717,-2.5082445,0.25554314,-2.2843707,0.37124383,6.036899,-12.220296,9.930869,-6.1516047,16.535889,3.593515,-26.38019,4497,GSM1261028,0.03126121865129543,2013
590.3356,3.9830985,60.56527,-36.099304,73.685104,-29.343967,13.0736685,-29.330717,21.581896,17.637157,9.6496935,-9.579329,4.4504724,-46.647236,-13.804943,15.872159,41.130814,-14.695503,-51.394184,-43.38923,-38.649033,-10.915122,-59.88473,-4.969183,-28.251707,29.735003,-25.557468,16.69087,-2.9255667,-7.641782,-6.0398645,-15.224673,-18.028954,-0.6313107,-14.964943,-22.198761,6.8856897,-16.562826,7.1564336,-14.95763,0.36208665,-6.0268764,9.643661,-7.555779,-12.025406,-5.687284,-7.3329344,-12.482483,7.103057,-14.132356,5079,GSM1273062,0.0,2013
-176.71547,54.82829,-133.13716,52.396706,-3.5889957,29.834564,13.574964,-15.891623,-63.12152,80.965034,6.962347,-3.858783,-6.0014324,17.352358,39.269955,28.69353,-56.446503,-13.181788,57.82075,-47.19199,-16.962587,23.793873,-29.773136,28.758472,-48.598503,-6.1124067,18.199062,-43.53075,6.980225,70.52892,-64.59464,-8.656111,8.876742,-14.686975,7.270413,23.171782,15.879858,32.932095,-8.860138,10.129706,-2.978243,15.476663,5.82522,34.28228,10.266134,27.859636,11.13581,16.073559,-17.760704,-23.86582,5221,GSM1276901,0.030426937818065568,2013
-156.21051,-24.143044,125.638115,-171.77466,53.62318,95.719406,28.036484,-65.69952,-31.24049,-25.92186,24.318401,23.199894,-17.067698,-12.779871,-83.68851,86.43187,36.94342,66.435646,48.131966,-39.432243,6.808841,-16.901793,25.162693,-7.1964226,-0.36913413,42.756565,20.203466,-54.30057,47.701214,-46.496437,10.698768,-20.942934,-2.8595972,-11.317097,-4.170776,-16.34064,21.35534,12.934389,5.424847,-4.189406,25.058912,34.132755,6.0991106,43.623528,-7.7287116,-6.852424,32.228706,5.7377496,-6.850487,-17.351847,5272,GSM1278456,0.03956551470113954,2013
1284.3871,-11.752962,-28.312912,-65.98323,-42.399563,0.1016835,-33.0078,22.31494,-11.573324,5.1429787,-15.303125,3.4122014,-8.544688,7.9138803,-1.1032448,-2.7809331,12.394034,-4.1971655,14.202342,-0.709287,-12.998686,4.2953773,11.422934,-3.1887743,4.365297,-1.7602148,5.2965865,-1.8631115,0.045758907,-1.4572082,-4.6187987,12.443749,3.7019582,-7.592459,-11.049741,4.684921,-4.51636,1.2079076,1.8417685,1.9351646,8.94392,-6.6260624,6.3070436,0.019984154,-7.204124,6.823516,-2.7222033,3.1886857,5.5734773,-2.062203,5290,GSM1279746,0.13864002081986643,2013
-122.18313,-44.035843,149.36041,11.122278,-54.849846,-27.351679,24.531958,-45.806915,69.19893,96.47714,-41.92069,-8.2094345,-4.112606,24.156345,22.80845,-30.3217,22.998796,19.869028,-0.46413282,-31.605152,8.523274,-52.603413,14.546246,13.228013,-6.6324716,-33.371593,13.019421,19.426105,23.674225,-40.060486,-31.601677,-5.0121,-25.620201,38.096443,-30.537594,-9.522396,-11.759503,-37.26878,29.067247,-17.406317,-9.546927,8.336321,-21.661448,-0.059626237,-9.364872,-11.995092,18.978071,22.906845,36.044754,25.800781,5603,GSM1296149,0.11164987943527359,2013
-166.19205,283.57123,-102.918144,-87.67427,-22.323187,32.359932,3.7691963,66.63793,80.81534,-30.203856,-25.068192,-21.117886,9.888514,-27.324665,-23.288118,-56.10959,31.355095,22.078703,-19.884062,3.8942645,30.20332,-19.239182,16.97638,13.435347,-13.395184,-22.889921,3.6058364,2.7133102,-14.816482,-20.861519,-11.741879,-5.6623974,28.795048,14.321856,15.224398,14.976017,3.687339,10.0920725,-4.1639824,14.498838,-12.320485,-4.9795346,-2.3575487,-0.7314386,-5.224955,13.800831,12.838516,-0.28224123,-19.807337,2.0409486,5717,GSM1298128,0.0006207715222742493,2013
1261.8491,-17.460556,-23.165302,-55.12284,-48.53581,-4.2913027,-27.497772,20.917814,-14.650384,5.697062,-12.752896,-5.362895,-3.049199,4.524128,-7.66441,0.36593372,7.6960735,-1.8953761,9.841761,1.760582,-6.97302,0.88931924,1.5799236,-2.4676552,-2.0494916,-0.46071056,5.259438,-0.7204315,7.382101,-1.1146119,0.025748054,5.4587026,-1.1455172,-4.8212214,-15.037406,7.4501166,-10.47756,-0.38292247,-0.26970586,-3.8310673,9.814767,-7.992688,7.7010684,-0.12091811,-5.147988,2.9421532,-4.503319,0.86403584,10.507541,-4.098368,5866,GSM1310566,0.15964581699936842,2014
-148.09703,-98.98369,-13.248424,42.300377,-36.92672,4.525276,-4.615269,-3.110938,56.42866,65.74506,-11.481097,-25.101702,-20.603918,24.604435,-4.6937695,-3.568969,34.258812,15.3272505,13.414427,-37.60326,12.660997,-33.553978,17.211515,4.5925574,-11.50967,-24.55236,10.149785,39.450405,20.978333,-25.308346,-38.80869,-9.225565,-3.1345606,17.352583,2.0041254,2.5905304,7.5589232,-20.281488,42.65557,36.816036,7.3130064,23.554743,18.60087,-20.74179,-20.521168,-8.573258,23.08448,-47.424538,-15.042331,7.120444,5929,GSM1314288,0.005294010918882215,2014
