gene_symbol,tsne_1,tsne_2
TSPAN6,54.759514,-36.932175
TNMD,-1.0283977,-19.417181
DPM1,105.93352,-14.887067
SCYL3,91.35084,7.13824
C1ORF112,56.08919,-52.924183
FGR,64.93507,55.69669
CFH,50.11464,-41.035156
FUCA2,94.7268,-30.679165
GCLC,99.21496,-23.60994
NFYA,98.621346,-9.707956
STPG1,69.37088,0.7856944
NIPAL3,101.92385,-12.950823
LAS1L,89.1407,-33.676502
ENPP4,69.70814,5.2675986
SEMA3F,48.8804,-30.211311
CFTR,46.085564,27.461294
ANKIB1,105.47769,-23.871016
CYP51A1,98.23116,-27.560015
KRIT1,108.0877,-14.764988
RAD52,76.068,1.40926
MYH16,16.71608,-9.235104
BAD,73.47979,-20.568186
LAP3,97.37597,-26.117504
CD99,105.581985,-39.228867
HS3ST1,50.60652,22.531944
AOC1,36.11108,29.904789
WNT16,21.363152,17.978422
HECW1,31.25106,-28.050098
MAD1L1,71.3092,-28.649117
LASP1,108.38233,-46.68615
SNX11,81.97018,-9.51119
TMEM176A,62.542404,53.92714
M6PR,105.68302,-37.82715
KLHL13,44.8348,-22.782494
CYP26B1,34.532433,-26.084229
ICA1,69.600746,2.2425537
DBNDD1,47.043327,-26.014738
ALS2,106.99696,-14.864236
CASP10,93.43339,18.570038
CFLAR,115.09333,-42.3812
TFPI,94.09854,6.703034
NDUFAF7,76.96667,-4.69081
RBM5,114.3971,-29.80773
MTMR7,59.53088,11.126694
SLC7A2,48.330475,-32.820515
ARF5,88.986824,-38.772705
SARM1,76.11226,7.98078
POLDIP2,99.56076,-31.392115
PLXND1,75.87456,-39.850605
AK2,111.053085,-46.220875
CD38,69.18786,55.582253
FKBP4,99.74034,-44.528816
KDM1A,100.76836,-33.688087
RBM6,115.27632,-27.718325
CAMKK1,53.902527,-17.356747
RECQL,98.34318,-22.29427
VPS50,87.77627,-4.4987273
HSPB6,33.144722,-38.356228
ARHGAP33,55.32631,-18.766455
NDUFAB1,85.773125,-23.777884
PDK4,64.11942,5.4847474
SLC22A16,46.4253,68.6053
ZMYND10,30.081154,-9.212444
ABCB5,31.552034,55.432747
ARX,17.945807,-29.308693
SLC25A13,88.6645,-12.477092
ST7,84.85112,-12.037701
CDC27,109.90778,-29.23561
SLC4A1,58.358833,50.5271
CALCR,-1.791703,-18.099255
HCCS,81.41873,-18.618711
DVL2,73.88326,-34.663475
PRSS22,22.384907,-15.181605
UPF1,92.27045,-42.774002
SKAP2,100.31201,8.268149
SLC25A5,101.64547,-47.24981
MCUB,78.66149,-6.9486814
HOXA11,20.721853,-8.207332
POLR2J,88.28262,-22.122917
DHX33,92.05044,-9.057406
MEOX1,15.770412,-23.129257
THSD7A,35.323956,-30.66871
LIG3,99.05298,-8.739011
RPAP3,95.28128,-20.294003
ACSM3,71.38798,15.568698
REXO5,56.46303,-7.157408
CIAPIN1,93.699394,-23.890408
SPPL2B,80.07851,-33.15714
FAM214B,70.40186,-26.668795
COPZ2,40.862743,-34.53806
PRKAR2B,62.43304,4.131969
MSL3,103.3469,3.6365104
CREBBP,117.51087,-31.924133
TSPOAP1,68.032776,10.146267
MPO,46.787724,69.15547
PON1,10.987792,-31.226675
GCFC2,81.375786,-4.457165
WDR54,74.33741,-13.952395
CROT,78.02765,3.865707
ABCB4,45.880672,22.845072
KMT2E,115.15278,-32.388298
RHBDD2,83.99807,-33.54395
SOX8,32.748173,-22.881115
IBTK,93.18511,-10.847145
ZNF195,94.80713,-3.5185714
MYCBP2,116.63771,-31.512327
FBXL3,103.65565,-8.352051
ITGAL,73.07909,56.244537
PDK2,72.78404,-25.13281
ITGA3,61.55584,-42.702812
ZFX,107.11069,-11.879281
LAMP2,110.31752,-41.99807
ITGA2B,58.688038,51.91623
ASB4,49.458218,37.751816
GDE1,104.40585,-33.182526
REX1BD,88.01471,8.472035
CRLF1,44.37903,-11.278424
OSBPL7,61.459194,-19.961418
TMEM98,48.865036,-33.931828
YBX2,24.314978,-6.187258
KRT33A,-50.084812,-65.17051
MAP3K14,65.18941,-23.771141
ABCC8,62.6203,33.94286
CACNG3,-7.008637,-22.074469
TMEM132A,56.087856,-35.104984
AP2B1,105.233086,-46.933224
TAC1,18.893343,-33.57583
ZNF263,73.51347,-31.003254
CX3CL1,56.341423,19.062305
SPATA20,74.20912,-28.86027
CACNA1G,31.540138,-26.93344
TNFRSF12A,61.060955,-31.163195
DLX6,42.21331,52.562134
MAP3K9,78.64986,-0.8677579
RALA,95.0369,-25.00429
BAIAP2L1,58.627884,-33.15355
KDM7A,104.31959,-3.0477674
ETV1,44.88262,-31.605734
AGK,89.94526,7.990207
ALDH3B1,79.64741,2.9121926
TTC22,51.909264,20.2782
PHTF2,99.70959,-14.113169
CCL26,10.487915,-9.653596
FARP2,96.08857,-6.035599
USH1C,9.390263,-27.03256
GGCT,81.198586,-16.328497
DBF4,60.784405,-53.272465
TBXA2R,50.216515,9.576851
IFRD1,105.901985,-20.689535
LGALS14,20.62342,52.440147
COX10,80.774605,-4.597558
GTF2IRD1,56.540703,-35.037323
PAF1,85.94504,-37.563496
VPS41,109.71599,-21.26804
ARHGAP44,50.747623,-23.838806
ELAC2,95.07144,-35.044003
SCIN,62.835457,11.939274
ARSD,84.430374,0.6717404
PNPLA4,67.38782,-0.66796106
MYH13,4.3058248,-21.723557
ADIPOR2,98.229294,-10.187563
CDKL3,55.246674,14.488903
UPP2,9.824639,-30.663397
PRSS21,11.585359,17.869198
MARK4,78.070724,-32.254993
PROM1,27.624115,-25.05086
CCDC124,75.9376,-26.973753
CEACAM21,55.353767,64.21205
PAFAH1B1,103.726494,-46.280327
NOS2,25.600534,-23.401157
DNAH9,22.031532,-24.828539
KIAA0100,107.99085,-46.9067
SLC13A2,0.79151636,-33.939747
GAS7,90.07434,16.27583
TRAPPC6A,62.82856,-14.385892
MATK,63.80185,48.93395
CEACAM7,1.485788,-33.47566
CD79B,65.15276,61.079628
SCN4A,7.013261,-17.923134
ST7L,77.688095,4.340762
TKTL1,-5.24323,79.5851
PAX6,55.170544,25.561901
RPUSD1,69.73105,-20.689903
RHBDF1,48.82337,-30.381828
LUC7L,109.285995,-17.406609
CACNA2D2,41.401188,-18.401745
BAIAP3,58.94988,-1.855498
TSR3,74.77776,-20.324526
PIGQ,69.34315,-28.138308
CRAMP1,76.13114,-32.98191
TEAD3,48.927296,-30.267616
SELE,14.910088,-20.73606
DNAJC11,89.65221,-36.0331
FMO3,43.23548,28.974176
MYLIP,103.12912,-1.7301859
NOX1,29.441671,11.729294
E2F2,59.542007,2.4775903
PSMB1,102.477104,-38.59795
SYN1,33.240547,-24.06746
JARID2,110.27516,-15.934812
CDKL5,85.01398,9.4140625
CAMK1G,18.469131,-31.075027
CDK11A,100.596756,2.7736466
NADK,85.009636,-43.25237
TFAP2B,0.29754925,-17.237637
TFAP2D,-28.529839,-56.116283
DLEC1,61.869923,25.28959
CYTH3,65.17665,-34.543354
ADAM22,63.876144,2.890755
SYPL1,98.425514,-40.1144
CYB561,68.04786,-35.66737
SPAG9,113.3058,-35.892403
CELSR3,55.381172,-18.988289
AASS,54.03832,-36.425865
PLEKHG6,31.263779,-16.136772
SS18L2,81.59377,-12.973671
MPND,60.205986,-18.797846
MGST1,62.95003,-40.63399
CRY1,76.02582,-10.996759
PGLYRP1,45.53348,72.59166
NFIX,65.671135,-36.19407
ST3GAL1,115.344925,-19.147724
MMP25,64.129776,48.783928
IL32,93.170105,19.855984
